Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,School,Pick,Games,WS
Kyle Weaver,3.8,0.8,0.505,0.277,78,201,9.6,1.6,2.8,4.7,4,Washington State,38,73,1.5
Sonny Weems,2.3,0.3,0.527,0.366,78,203,13.3,1.3,2.8,4.6,2,Arkansas,39,183,0
Chris Douglas-Roberts,1.7,0.4,0.579,0.372,79,200,14.2,1,2.1,3.7,3,Memphis,40,222,5.4
Sean Singletary,4.8,0.1,0.433,0.362,72,185,16.9,1.6,3.9,4,4,Virginia,42,37,0
Patrick Ewing,0.9,3.4,0,0,84,240,15.3,1.2,2.3,9.2,4,Georgetown,43,1183,126.4
Trent Plaisted,1.2,1,0.535,0,83,230.2876705,13.3,0.4,2.4,6.7,4,Brigham Young Hawaii,46,0,0
Bill Walker,1.7,0.5,0.52,0.285,78,220,15.3,0.8,2.6,6,2,Kansas State,47,181,5
Malik Hairston,2.1,0.6,0.551,0.395,78,220,14.1,0.6,1.8,5.1,4,Oregon,48,62,0.8
Richard Hendrix,1.4,1.6,0.596,0.231,81,224.73857,14,0.9,1.7,8.9,3,Alabama,49,0,0
DeVon Hardin,0.4,1.3,0.517,0,83,230.2876705,7.4,0.4,1.4,6.4,4,California,50,0,0
Shan Foster,1.7,0.3,0.543,0.421,78,216.4149193,15.2,0.8,1.7,3.9,4,Vanderbilt,51,0,0
Darnell Jackson,0.5,0.4,0.583,0.333,81,253,6.8,0.5,1.3,4.9,4,Kansas,52,138,1.3
Maarty Leunen,1.8,0.4,0.573,0.397,81,224.73857,9.9,1,1.6,7.1,4,Oregon,54,0,0
Mike Taylor,4.5,0.1,0.391,0.36,74,165,16,1.1,2.140225564,4.1,1,Iowa State,55,51,-0.4
Sasha Kaun,0.3,1.1,0.568,0,83,230.2876705,6.1,0.4,0.8,3.9,4,Kansas,56,25,0.2
James Gist,1.1,1.8,0.523,0.33,81,224.73857,10.9,0.9,2.7,6,4,Maryland,57,0,0
Joe Crawford,1.5,0.2,0.512,0.35,77,210,11.3,0.5,2.8,3.4,4,Kentucky,58,2,0
Deron Washington,1.5,0.9,0.498,0.294,79,219.1894695,11,1.2,2.1,5.4,4,Virginia Tech,59,0,0
Blake Griffin,2.1,1,0.622,0.3,82,227.5131203,18.8,1.1,2.8,11.8,2,Oklahoma,1,471,62.4
Hasheem Thabeet,0.4,4.2,0.611,0,87,241.3858715,10.3,0.4,1.8,8.5,3,Connecticut,2,224,4.8
James Harden,3.7,0.4,0.57,0.376,77,213.640369,19,1.9,3,5.4,2,Arizona State,3,615,91.3
Tyreke Evans,3.9,0.8,0.514,0.274,78,216.4149193,17.1,2.1,3.6,5.4,1,Memphis,4,473,23.9
Jonny Flynn,6,0.2,0.525,0.333,72,199.7676178,16.6,1.5,3.1,2.7,2,Syracuse,6,163,-1.1
Stephen Curry,3.7,0.3,0.53,0.412,75,208.0912685,25.3,2.1,3.1,4.5,3,Davidson College,7,574,84.2
Jordan Hill,0.8,1.4,0.578,0,82,235,12.5,0.5,2.5,7.9,3,Arizona,8,409,16.4
DeMar DeRozan,1.5,0.4,0.562,0.167,79,219.1894695,13.9,0.9,2.1,5.7,1,Southern California,9,595,44.4
Terrence Williams,3.9,0.6,0.457,0.32,78,216.4149193,11.2,1.5,2.6,6.9,4,Louisville,11,153,-0.2
Gerald Henderson,0,0,0,0,74,175,15,0,2.140225564,3.2,4,Duke,12,871,32.1
Tyler Hansbrough,1.1,0.5,0.541,0.316,81,224.73857,20.2,1.3,2,8.6,4,North Carolina,13,428,20.2
Earl Clark,1.7,1.2,0.512,0.298,81,224.73857,10.6,0.9,2.8,7,3,Louisville,14,261,2.9
Austin Daye,1,1.9,0.495,0.422,83,230.2876705,11.6,0.7,1.9,5.8,2,Gonzaga,15,293,4.5
James Johnson,3.8,0.1,0.394,0.37,72,195,13.6,1.5,2.2,3.5,4,Wake Forest,16,474,17
Jrue Holiday,3.7,0.5,0.528,0.307,75,208.0912685,8.5,1.6,2.1,3.8,1,UCLA,17,504,26.6
Ty Lawson,5.8,0.1,0.568,0.403,71,196.9930675,13.1,1.8,2,2.9,3,North Carolina,18,551,42.1
Jeff Teague,3,0.6,0.477,0.421,74,205.3167183,16.4,1.9,3,3,2,Wake Forest,19,600,41.2
Eric Maynor,5.2,0.2,0.477,0.37,74,205.3167183,15,1.3,3,3.4,4,Virginia Commonwealth,20,267,3.3
Darren Collison,4.1,0.1,0.496,0.439,73,202.542168,11.6,1.6,2.4,2.3,4,UCLA,21,563,35.5
Taj Gibson,1.4,2.4,0.58,0,81,224.73857,12.4,0.7,2.3,8.5,3,Southern California,26,585,37.6
DeMarre Carroll,1.8,0.7,0.57,0.311,80,221.9640198,14.9,1.4,1.5,6.9,4,Missouri,27,414,22
Wayne Ellington,2.2,0.1,0.513,0.397,76,210.8658188,14.7,0.9,1.7,4.1,3,North Carolina,28,515,10.7
Toney Douglas,2.9,0.3,0.491,0.376,73,202.542168,16.7,1.9,2.6,3.3,4,Florida State,29,394,12.1
Jeff Pendergraph,0.8,1,0.585,0,82,227.5131203,12.6,0.5,1.6,7.5,4,Arizona State,31,11,-0.2
Jermaine Taylor,1.4,0.4,0.536,0.376,76,210.8658188,16.2,0.9,2.7,3.9,4,Central Florida,32,56,-0.1
Dante Cunningham,1,0.8,0.525,0.333,81,224.73857,9.6,1.2,2.2,5.9,4,Villanova,33,578,20.6
DaJuan Summers,1.3,0.6,0.522,0.353,80,221.9640198,11.2,1,2.3,4.4,3,Georgetown,35,83,-0.1
Sam Young,1,0.8,0.539,0.356,78,216.4149193,13.2,0.8,2.4,5,4,Pittsburgh,36,249,5.2
DeJuan Blair,1.1,1,0.568,0,79,219.1894695,13.6,1.6,1.6,10.7,2,Pittsburgh,37,424,19
Jon Brockman,1,0.1,0.534,0,79,219.1894695,13.8,0.8,2.1,9.8,4,Washington,38,150,3.7
Derrick Brown,1.5,0.8,0.61,0.415,80,221.9640198,10.3,0.7,1.8,5.6,3,Xavier,40,171,4.5
Jodie Meeks,1.6,0.1,0.491,0.386,77,213.640369,15.4,1.1,2.3,3,3,Kentucky,41,454,21.9
Patrick Beverley,2.8,0.4,0.463,0.382,73,202.542168,13,1.5,2,5.5,2,Arkansas,42,291,19.6
Marcus Thornton,1.8,0.3,0.51,0.382,76,210.8658188,20.4,1.5,2,5.5,2,Louisiana State,43,483,20
Chase Budinger,2.8,0.4,0.524,0.383,79,219.1894695,17,1.3,2.4,5.8,3,Arizona,44,407,13.9
Nick Calathes,6.3,0.1,0.507,0.38,78,216.4149193,16.3,1.8,3.1,5.3,2,Florida,45,129,2.6
Danny Green,1.8,1.1,0.522,0.375,77,213.640369,9.4,1.1,1.8,4.1,4,North Carolina,46,823,46.4
Taylor Griffin,1,0.8,0.493,0.22,79,219.1894695,6.6,0.9,1.5,4.8,4,Oklahoma,48,8,0
Goran Suton,1.6,0.7,0.536,0.348,82,227.5131203,8.1,0.8,1.7,6.6,4,Michigan State,50,0,0
Jack McClinton,2.5,0,0.416,0.44,73,202.542168,17.9,0.7,2.5,2.7,4,Miami,51,0,0
A.J. Price,4.7,0.1,0.447,0.365,74,205.3167183,13,1.1,2.5,3.4,3,Connecticut,52,261,4.7
Robert Vaden,2.3,0.4,0.453,0.374,77,213.640369,19.3,1,2.7,4.2,4,Alabama at Birmingham,54,0,0
Patrick Mills,3.7,0.2,0.499,0.331,72,199.7676178,16.4,2,2.9,2.2,2,St. Mary's,55,837,79.6
Ahmad Nivins,0.5,1.3,0.628,0,81,224.73857,14.2,0.7,2.5,7.6,4,St. Joseph's,56,0,0
Lester Hudson,4.4,0.6,0.53,0.372,75,208.0912685,26.6,2.6,3.6,7.9,2,Tennessee at Martin,58,57,0.2
Chinemelu Elonu,0.2,0.9,0.633,0,82,227.5131203,5.1,0.2,1.3,4.4,3,Texas A&M,59,0,0
Robert Dozier,1,1.5,0.493,0.312,81,224.73857,9.3,1,1.8,6.5,4,Memphis,60,0,0
John Wall,6.5,0.5,0.509,0.325,76,210.8658188,16.6,1.8,4,4.3,1,Kentucky,1,500,40.4
Evan Turner,4.1,0.7,0.525,0.362,79,219.1894695,15,1.6,3.5,6.8,3,Ohio State,2,534,15.9
Derrick Favors,1,2.1,0.613,0,82,227.5131203,12.4,0.9,2.5,8.4,1,Georgia Tech,3,479,33.5
Wesley Johnson,0.1,0.3,0.529,0,80,210,1.6,0.2,0.3,1.5,2,Syracuse,4,497,9
DeMarcus Cousins,1,1.8,0.565,0.167,83,230.2876705,15.1,1,2.1,9.8,1,Kentucky,5,487,36.9
Ekpe Udoh,2.7,3.7,0.505,0.269,82,227.5131203,13.9,0.8,2.4,9.8,3,Baylor,6,270,5.7
Greg Monroe,3.2,1.5,0.558,0.273,83,230.2876705,14.5,1.5,2.9,8.2,2,Georgetown,7,538,45.2
Al-Farouq Aminu,1.4,1.3,0.522,0.238,81,224.73857,14.4,1.2,2.9,9.4,2,Wake Forest,8,520,17.4
Gordon Hayward,1.8,0.9,0.569,0.369,80,221.9640198,14.4,1.3,2,7.4,2,Butler,9,516,43
Paul George,2.4,0.9,0.485,0.396,79,219.1894695,15.5,2,2.7,6.7,2,Cal State Fresno,10,448,44.5
Cole Aldrich,0.6,2.3,0.574,0,83,230.2876705,9.4,0.5,1.2,7.7,3,Kansas,11,318,9.6
Xavier Henry,1.5,0.5,0.492,0.418,78,216.4149193,13.4,1.5,1.9,4.4,1,Kansas,12,185,0.8
Ed Davis,0.7,2.1,0.548,0,82,227.5131203,9.2,0.4,1.4,7.7,2,North Carolina,13,481,30.5
Patrick Patterson,1.5,1.6,0.604,0.329,81,224.73857,16.1,0.7,1.6,8.2,3,Kentucky,14,477,25
Larry Sanders,0.5,2.7,0.526,0.25,82,227.5131203,10.3,0.6,1.5,7.7,3,Virginia Commonwealth,15,238,10.3
Luke Babbitt,1.8,0.8,0.494,0.421,81,224.73857,19.4,0.9,2.1,8.1,2,"University of Nevada, Reno",16,331,6.3
Eric Bledsoe,2.9,0.3,0.516,0.383,73,202.542168,11.3,1.4,3,3.1,1,Kentucky,18,418,23.3
Avery Bradley,2.1,0.5,0.457,0.375,74,205.3167183,11.6,1.3,1.5,2.9,1,Texas,19,413,14.4
James Anderson,0.2,0.4,0.463,0,82,240,1.6,0.1,0.2,1.3,3,Oklahoma State,20,247,3.3
Craig Brackins,1.6,1,0.48,0.292,82,227.5131203,16,0.5,2,7.7,3,Iowa State,21,17,-0.2
Elliot Williams,3.8,0.1,0.527,0.366,76,210.8658188,17.9,1.3,2.9,4,2,Memphis,22,109,0.7
Trevor Booker,1.7,1.9,0.574,0.324,79,219.1894695,12.9,1.1,1.9,7.9,4,Clemson,23,464,23.3
Damion James,1.1,1.1,0.506,0.364,79,219.1894695,13.5,1,1.9,9.3,4,Texas,24,39,0
Dominique Jones,3.5,0.4,0.512,0.323,76,210.8658188,18.9,1.5,2.6,5.4,3,South Florida,25,15,-0.3
Quincy Pondexter,1.7,0.3,0.528,0.327,79,219.1894695,13.1,0.8,1.9,5.6,4,Washington,26,279,9.1
Jordan Crawford,2.9,0.2,0.501,0.391,76,210.8658188,20.5,1.3,2.4,4.7,2,Xavier,27,2,0
Greivis Vasquez,5.7,0.3,0.487,0.329,78,216.4149193,16,1.4,3.5,4.8,4,Maryland,28,401,12.6
Daniel Orton,0.4,1.4,0.539,0,83,230.2876705,3.4,0.6,1,3.3,1,Kentucky,29,51,1
Lazar Hayward,0.9,0.3,0.497,0.357,78,216.4149193,13.5,1.1,1.9,6.6,4,Marquette,30,72,0.2
Dexter Pittman,0.3,0.9,0.623,0,82,227.5131203,6.6,0.2,1.3,3.9,4,Texas,32,50,0.5
Hassan Whiteside,0.3,5.4,0.522,0.6,84,233.0622207,13.1,0.6,1.9,8.9,1,Marshall,33,217,25.2
Armon Johnson,4.4,0.2,0.514,0.289,75,208.0912685,14.3,0.8,2.7,3.7,3,"University of Nevada, Reno",34,47,-0.1
Terrico White,1.9,0.2,0.491,0.347,77,213.640369,14.5,0.8,1.5,4,2,Mississippi,36,0,0
Darington Hobson,4.6,0.4,0.465,0.361,79,219.1894695,15.9,1.3,3,9.3,1,New Mexico,37,5,-0.2
Andy Rautins,2.7,0.2,0.506,0.374,77,213.640369,8.8,1.4,2.4,2.6,4,Syracuse,38,5,-0.2
Landry Fields,1.6,0.4,0.51,0.342,79,219.1894695,10.8,0.9,1.7,5,4,Stanford,39,255,10.5
Lance Stephenson,2.5,0.2,0.495,0.219,77,210,12.3,0.9,2.4,5.4,1,Cincinnati,40,358,13.8
Jarvis Varnado,0.6,4,0.591,0.25,81,224.73857,10,0.5,1.6,7.8,4,Mississippi State,41,37,0.7
Da'Sean Butler,1.9,0.2,0.5,0.353,79,219.1894695,14.3,1.1,1.9,5.5,4,West Virginia,42,0,0
Devin Ebanks,2.6,0.7,0.51,0.114,81,224.73857,11.2,0.9,2.1,7.9,2,West Virginia,43,63,0.5
Jerome Jordan,0.8,2.5,0.567,0,84,233.0622207,11.3,0.4,2.3,7.4,4,Tulsa,44,65,1.7
Gani Lawal,0.4,1.3,0.55,0,81,224.73857,11.8,0.6,2.1,7.2,3,Georgia Tech,46,1,0
Tiny Gallon,0.8,0.8,0.573,0.235,81,224.73857,10.3,0.7,2.3,7.9,1,Oklahoma,47,0,0
Solomon Alabi,0.4,2.1,0.535,0,85,235.836771,9.1,0.5,1.7,5.4,3,Florida State,50,26,0
Magnum Rolle,0.9,1.9,0.521,0.5,83,230.2876705,13.1,0.8,2.1,7.8,4,Louisiana Tech,51,0,0
Luke Harangody,1.6,0.7,0.486,0.326,80,246,19.2,0.8,2,9.5,4,Notre Dame,52,70,0.9
Willie Warren,3.5,0.1,0.55,0.35,76,210.8658188,15.2,1.1,2.8,2.6,2,Oklahoma,54,19,0.2
Jeremy Evans,0.5,1.7,0.654,0.364,81,224.73857,7.9,0.6,1,5.9,4,Western Kentucky,55,249,8.2
Hamady N'Diaye,0.4,2.9,0.542,0,84,233.0622207,5.8,0.4,1.5,5.5,4,Rutgers,56,33,0
Ryan Reid,0.7,0.6,0.494,1,80,221.9640198,5,0.5,1.8,3.9,4,Florida State,57,5,0.1
Derrick Caracter,1.1,0.9,0.585,0.267,81,224.73857,14.1,1,2.9,8.1,3,University of Texas at El Paso,58,41,0.3
Stanley Robinson,1,1,0.52,0.351,81,224.73857,9.8,0.6,1.8,6.2,4,Connecticut,59,0,0
Dwayne Collins,0.9,0.7,0.565,0,80,221.9640198,9.9,0.7,1.9,7,4,Miami,60,0,0
Kyrie Irving,4.3,0.5,0.569,0.462,74,180,17.5,1.5,2.5,3.4,1,Duke,1,381,40.4
Derrick Williams,3.2,0,0.4,0.431,69,191.443967,11.1,1.3,2.140225564,3.2,1,Arizona,2,426,14.1
Tristan Thompson,1.3,0.1,0.472,0.396,77,193,12.7,0.6,1.7,2.8,4,Texas,4,466,34.9
Brandon Knight,4.2,0.2,0.461,0.377,75,185,17.3,0.7,3.2,4,1,Kentucky,8,729,32.6
Kemba Walker,4.1,0.3,0.469,0.326,73,172,16.1,1.7,2.3,4.4,3,Connecticut,9,448,17.9
Jimmer Fredette,3.7,0.1,0.497,0.394,74,195,18.7,1.2,2.5,2.6,4,Brigham Young,10,235,2.4
Klay Thompson,2.6,0.8,0.45,0.39,78,200,17.9,1.3,2.9,4.8,3,Washington State,11,464,36.6
Alec Burks,2.4,0.4,0.533,0.313,78,195,19,1.1,2.3,5.8,2,Colorado,12,301,9.6
Markieff Morris,1.2,0.9,0.579,0.404,82,245,8.5,0.6,1.6,6.1,3,Kansas,13,62,4.1
Marcus Morris,1.3,0.4,0.585,0.358,81,235,12.6,0.9,1.6,6.2,3,Kansas,14,62,4.1
Kawhi Leonard,2.2,0.6,0.497,0.25,79,225,14.1,1.4,2.2,10.2,2,San Diego State,15,398,55.4
Nikola Vucevic,1.1,1.1,0.551,0.303,82,220,11.1,0.5,1.5,8,3,Southern California,16,399,28.1
Iman Shumpert,4.2,0.2,0.45,0.305,77,212,12.7,2.3,3,4.5,3,Georgia Tech,17,370,11.6
Chris Singleton,1.5,1.4,0.476,0.33,81,220,10.3,1.9,2.4,6.2,3,Florida State,18,148,2.3
Tobias Harris,1.3,0.9,0.497,0.303,80,226,15.3,0.7,1.8,7.3,1,Tennessee,19,14,0
Nolan Smith,2.8,0.1,0.483,0.368,74,185,13.4,1,2,2.8,4,Duke,21,84,-0.8
Kenneth Faried,0.9,1.8,0.572,0.25,80,228,14.8,1.7,2.2,12.3,4,Morehead State,22,409,34.6
Reggie Jackson,3.5,0.5,0.527,0.351,75,208,12.7,0.8,2.1,4.4,3,Boston College,24,403,21.3
Marshon Brooks,1.5,0.7,0.543,0.333,77,200,14.4,1.1,1.8,4.3,4,Providence College,25,164,2.5
Jordan Hamilton,0.5,0.3,0.547,0.324,78,205,4.3,0.3,0.7,1.4,4,Texas,26,344,12.4
JaJuan Johnson,0.7,1.9,0.512,0.25,82,221,13.7,0.7,1.3,6.1,4,Purdue,27,36,0.2
Norris Cole,3.3,0.1,0.48,0.321,74,170,14.1,1.5,2,3.2,4,Cleveland State,28,360,3
Cory Joseph,3,0.3,0.429,0.413,75,185,10.4,1,1.5,3.6,1,Texas,29,364,15.2
Jimmy Butler,1.7,0.5,0.525,0.383,79,220,12,1.1,1,5.5,3,Marquette,30,399,49.3
Justin Harper,0.7,0.8,0.557,0.382,82,225,10.6,0.6,1.3,4.8,4,Richmond,32,22,-0.3
Kyle Singler,2,0.7,0.479,0.363,80,230,16.2,1.1,2.1,6.9,4,Duke,33,344,10.1
Shelvin Mack,3.3,0.1,0.48,0.357,75,215,14.1,1.1,2.2,4.2,3,Butler,34,330,7.5
Tyler Honeycutt,2.8,1.7,0.473,0.359,81,180,10.3,1.2,2.8,6.9,2,UCLA,35,24,-0.1
Jordan Williams,0.4,1.2,0.528,0,82,260,13.2,0.7,1.3,10.2,2,Maryland,36,43,1.3
Trey Thompkins,1.4,1.3,0.496,0.357,82,245,15.7,1,2.6,7.8,3,Georgia,37,466,34.9
Chandler Parsons,2.4,0.3,0.575,0.337,81,215,10.2,0.9,1.6,6,4,Florida,38,374,28
Jon Leuer,1.1,0.7,0.521,0.368,82,228,11.2,0.4,1.2,4.5,4,Wisconsin,40,328,12.2
Darius Morris,4.8,0.1,0.528,0.223,76,190,9.9,0.8,2.3,2.9,2,Michigan,41,132,-0.3
Malcolm Lee,2,0.2,0.533,0.278,77,180,9.7,0.8,1.7,3,3,UCLA,43,36,0.4
Charles Jenkins,3.8,0.6,0.482,0.382,75,220,19.6,1.7,3,4.3,4,Hofstra,44,110,0.5
Josh Harrellson,0.4,0.9,0.571,0.31,82,275,4.7,0.5,0.6,4.7,3,Kentucky,45,75,2.1
Andrew Goudelock,3,0.3,0.494,0.413,74,200,18.4,0.9,2.2,3.3,4,College of Charleston,46,49,0
Travis Leslie,2.1,0.7,0.492,0.333,76,205,12.2,1.1,2,6.1,3,Georgia,47,10,0.1
Keith Benson,0.7,2.7,0.562,0.379,83,230,14.1,0.5,1.4,8.2,4,Oakland,48,680,33.6
Josh Selby,2.2,0,0.384,0.362,74,183,7.9,0.8,2,2.2,1,Kansas,49,38,-0.7
Lavoy Allen,2.1,1.6,0.549,0.288,81,225,10.5,0.5,1.4,8.5,4,Temple,50,388,13.8
Jon Diebler,1.9,0.2,0.474,0.416,78,205,10.7,1,1.2,2.8,4,Ohio State,51,0,0
Vernon Macklin,0.8,0.8,0.599,0,81,224.73857,11.1,0.5,1.5,5.5,4,Florida,52,23,0.5
DeAndre Liggins,2.1,0.5,0.455,0.332,78,210,5.8,0.9,1.5,3,3,Kentucky,53,119,1.1
E'Twaun Moore,2.9,0.4,0.473,0.38,76,191,15.3,1.2,2.1,4.4,4,Purdue,55,380,7.5
Ater Majok,0.2,1.6,0.424,0,82,227.5131203,2.3,0.2,0.8,3,1,Connecticut,58,0,0
Isaiah Thomas,4,0.1,0.49,0.325,68,185,16.4,1.2,2.7,3.5,3,Washington,60,441,45.4
Anthony Davis,2.3,0.3,0.47,0.311,74,205.3167183,13.3,1.6,2.140225564,4.4,4, Kentucky,1,335,48.8
Michael Kidd-Gilchrist,1.9,0.9,0.535,0.255,79,232,11.9,1,2.2,7.4,1,Kentucky,2,283,15.5
Bradley Beal,2.2,0.8,0.541,0.339,75,207,14.8,1.4,2.1,6.7,1,Florida,3,324,21.9
Dion Waiters,2,0.2,0.513,0.348,76,215,9.7,1.5,1.1,1.9,2,Syracuse,4,335,7.4
Thomas Robinson,1,0.7,0.525,0.5,81,237,9.8,0.6,1.6,7.3,3,Kansas,5,313,4.6
Damian Lillard,3.5,0.2,0.497,0.39,74,185,18.6,1.2,2.4,4.3,4,Weber State,6,396,45.5
Harrison Barnes,1.3,0.4,0.469,0.349,80,215,16.3,0.9,1.9,5.5,2,North Carolina,7,22,-0.4
Terrence Ross,1.2,0.7,0.528,0.364,78,195,12.3,0.9,1.4,4.7,2,Washington,8,387,14.6
Andre Drummond,0.4,2.7,0.541,0,82,270,10,0.8,1.5,7.6,1,Connecticut,9,385,36.1
Austin Rivers,2.1,0,0.477,0.365,76,200,15.5,1,2.3,3.4,1,Duke,10,347,5.5
Meyers Leonard,0.7,1.1,0.585,0.083,85,245,7.7,0.3,1.4,4.7,2,Illinois,11,299,9.4
Jeremy Lamb,1.7,0.6,0.573,0.348,77,180,14.1,1,1.6,4.7,2,Connecticut,12,276,10.5
Kendall Marshall,8,0.1,0.484,0.366,76,195,7.2,1.1,2.6,2.3,2,North Carolina,13,160,1
John Henson,1,2.5,0.505,0.208,83,220,10.3,0.6,1.5,8.1,3,North Carolina,14,315,13.8
Maurice Harkless,1.5,1.4,0.506,0.215,80,208,15.5,1.6,2.5,8.6,1,St. John's,15,356,12.7
Royce White,5,0.9,0.541,0.333,80,270,13.4,1.2,3.8,9.3,1,Iowa State,16,324,6.5
Tyler Zeller,0.6,1.1,0.544,0,84,250,12.8,0.7,1.4,6.7,4,North Carolina,17,340,13.8
Terrence Jones,1.5,1.8,0.493,0.328,81,252,14,1.2,1.8,8,2,Kentucky,18,232,14.8
Andrew Nicholson,0.7,2,0.586,0.377,81,240,17.1,0.5,2.4,7.2,4,St. Bonaventure,19,285,3.8
Jared Sullinger,1.2,0.8,0.541,0.365,81,265,17.3,1.1,1.8,9.7,2,Ohio State,21,269,15.3
Fab Melo,0.5,1.8,0.576,0,84,244,4.9,0.4,1.1,3.8,2,Syracuse,22,6,0
John Jenkins,1.1,0.3,0.521,0.438,76,210.8658188,16.9,0.7,1.3,2.7,3,Vanderbilt,23,145,2.7
Jared Cunningham,0.4,0.4,0.419,0.329,81,224.73857,5.2,0.4,0.7,2.6,1,Oregon State,24,84,0.2
Tony Wroten,3.7,0.4,0.483,0.161,77,205,16,1.9,3.8,5,1,Washington,25,145,-1.3
Miles Plumlee,0.3,0.6,0.557,1,82,245,4.8,0.5,1,4.8,4,Duke,26,273,9.2
Arnett Moultrie,1.2,0.8,0.555,0.444,83,249,16.4,0.8,2.4,10.5,3,Mississippi State,27,59,1.7
Perry Jones,1.2,0.7,0.539,0.279,83,235,13.7,0.7,2,7.4,2,Baylor,28,143,1.7
Marquis Teague,4.8,0.3,0.438,0.325,74,189,10,0.9,2.7,2.5,1,Kentucky,29,88,-0.8
Festus Ezeli,0.1,1.7,0.562,0,83,255,7.7,0.3,1.6,4.5,4,Vanderbilt,30,170,5.9
Jeff Taylor,0,0,0,0,76,175,12.4,0,2.140225564,3.4,4,Vanderbilt,31,56,-0.1
Jae Crowder,1.8,0.9,0.581,0.35,78,235,14.6,1.9,1,7.6,2,Marquette,34,383,21.7
Draymond Green,2.9,0.8,0.496,0.361,79,230,10.5,1.2,1.9,7.6,4,Michigan State,35,397,32.9
Orlando Johnson,2.7,0.6,0.498,0.411,77,205,19.6,1,2.6,5.8,4,"University of California, Santa Barbara",36,103,1.4
Quincy Acy,0.6,1.3,0.604,0.429,79,235,9.8,0.7,1.5,6,4,Baylor,37,257,7.8
Quincy Miller,1.4,0.6,0.475,0.348,81,210,10.6,0.7,1.8,4.9,1,Baylor,38,69,-0.1
Khris Middleton,2,0.2,0.494,0.321,79,217,11.3,1,2,4.6,3,Texas A&M,39,296,18
Will Barton,2.9,0.6,0.546,0.299,78,175,15.2,1.5,2.3,6.5,2,Memphis,40,314,9
Tyshawn Taylor,3.9,0.2,0.518,0.37,75,185,10.8,1.2,2.6,2.2,4,Kansas,41,61,-0.9
Doron Lamb,1.6,0.1,0.492,0.475,76,210,13.1,0.5,1.2,2.3,2,Kentucky,42,100,0.1
Mike Scott,2,0.1,0.429,0.286,73,202.542168,6.2,1.3,2.140225564,3.5,2,Virginia,43,281,9.2
Kim English,1.4,0.2,0.444,0.394,78,200,11.1,1.1,1.7,3,4,Missouri,44,41,0.2
Justin Hamilton,2.7,0.3,0.589,0.331,75,208.0912685,6.9,1.5,2.140225564,2.6,4,Louisiana State,45,113,3.7
Darius Miller,1.8,0.7,0.509,0.379,80,225,8.2,0.8,1.4,3.2,4,Kentucky,46,102,1.2
Kevin Murphy,1.9,0.2,0.476,0.372,79,185,15.8,0.8,3,4.2,4,Tennessee Technological,47,17,-0.3
Kyle O'Quinn,0.9,2.2,0.62,0.261,82,240,12.5,0.5,2,8.5,4,Norfolk State,49,321,11
Kris Joseph,1.5,0.5,0.501,0.331,79,210,10.5,1.3,1.6,4.5,4,Syracuse,51,10,-0.1
Darius Johnson-Odom,2.5,0.2,0.476,0.403,74,215,15.7,0.9,2.1,3.1,3,Marquette,55,59,-0.3
Robbie Hummel,2.1,0.9,0.483,0.389,80,215,14,1,1.1,6.8,4,Purdue,58,98,1.9
Marcus Denmon,1.7,0.1,0.518,0.401,75,185,12.6,1.3,1,3.4,4,Missouri,59,0,0
Robert Sacre,0.7,1.4,0.505,0.25,84,260,9.3,0.5,1.6,5,5,Gonzaga,60,189,2.4
Lonzo Ball,7.6,0.8,0.732,0.412,78,190,14.6,1.8,2.5,6,1,UCLA,,,
Markelle Fultz,5.9,1.2,0.502,0.413,76,195,23.2,1.6,3.2,5.7,1,Washington,,,
Jayson Tatum,2.1,1.1,0.504,0.342,80,205,16.8,1.3,2.6,7.3,1,Duke,,,
Dennis Smith Jr.,6.2,0.4,0.509,0.359,75,195,18.1,1.9,3.4,4.6,1,North Carolina State,,,
Malik Monk,2.3,0.5,0.497,0.397,75,200,19.8,0.9,2,2.5,1,Kentucky,,,
Josh Jackson,3,1.1,0.549,0.378,80,207,16.3,1.7,2.8,7.4,1,Kansas,,,
Jonathan Isaac,1.2,1.5,0.593,0.348,82,210,12,1.2,1.5,7.8,1,Florida State,,,
Zach Collins,0.4,1.8,0.672,0.476,84,230,10,0.5,1.5,5.9,1,Gonzaga,,,
Justin Jackson,2.6,0.4,0.529,0.339,80,193,13.8,0.6,1.4,4.1,3,North Carolina,,,
Lauri Markkanen,0.9,0.5,0.545,0.423,84,230,15.6,0.4,1.1,7.2,1,Arizona,,,
Jarrett Allen,0.8,1.5,0.579,0,83,235,13.4,0.6,2.5,8.5,1,Texas,,,
TJ Leaf,2.4,1.1,0.644,0.466,82,225,16.3,0.6,1.5,8.2,1,UCLA,,,
OG Anunoby,0.8,0.9,0.652,0.365,80,215,6.8,1,1.1,3.5,2,Indiana,,,
Donovan Mitchell,2.2,0.3,0.497,0.329,75,210,11.7,1.5,1.3,4.1,2,Louisville,,,
Justin Patton,1.2,1.4,0.683,0.533,83,215,12.9,0.9,1.7,6.2,1,Creighton,,,
Harry Giles,0.3,0.7,0.577,0,82,240,3.9,0.3,0.7,3.8,1,Duke,,,
John Collins,0.4,1.2,0.602,0,82,218,13.4,0.5,1.4,7,2,Wake Forest,,,
