Games,Name,WS
0,Trent Plaisted,0
181,Henry Walker,5
62,Malik Hairston,0.8
0,Richard Hendrix,0
0,DeVon Hardin,0
0,Shan Foster,0
138,Darnell Jackson,1.3
0,Maarty Leunen,0
51,Mike Taylor,-0.4
25,Sasha Kaun,0.2
0,James Gist,0
2,Joe Crawford,0
0,Deron Washington,0
471,Blake Griffin,62.4
224,Hasheem Thabeet,4.8
615,James Harden,91.3
473,Tyreke Evans,23.9
163,Jonny Flynn,-1.1
574,Stephen Curry,84.2
409,Jordan Hill,16.4
595,DeMar DeRozan,44.4
153,Terrence Williams,-0.2
871,Gerald Henderson,32.1
428,Tyler Hansbrough,20.2
261,Earl Clark,2.9
293,Austin Daye,4.5
474,James Johnson,17
504,Jrue Holiday,26.6
551,Ty Lawson,42.1
600,Jeff Teague,41.2
267,Eric Maynor,3.3
563,Darren Collison,35.5
585,Taj Gibson,37.6
414,DeMarre Carroll,22
515,Wayne Ellington,10.7
394,Toney Douglas,12.1
11,Jerry Pender,-0.2
56,Jeff Taylor,-0.1
578,Dante Cunningham,20.6
83,DaJuan Summers,-0.1
249,Sam Young,5.2
424,DeJuan Blair,19
150,Jon Brockman,3.7
171,Derrick Brown,4.5
454,Jodie Meeks,21.9
291,Patrick Beverley,19.6
483,Marcus Thornton,20
407,Chase Budinger,13.9
129,Nick Calathes,2.6
823,Dave Greenwood,46.4
8,Taylor Griffin,0
0,Goran Suton,0
0,Jack McClinton,0
261,A.J. Price,4.7
0,Robert Vaden,0
837,Paul Millsap,79.6
0,Ahman Nivins,0
57,Lester Hudson,0.2
0,Chinemelu Elonu,0
0,Robert Dozier,0
500,John Wall,40.4
534,Evan Turner,15.9
479,Derrick Favors,33.5
497,Wesley Johnson,9
487,DeMarcus Cousins,36.9
270,Ekpe Udoh,5.7
538,Greg Monroe,45.2
520,Al-Farouq Aminu,17.4
516,Gordon Hayward,43
448,Paul George,44.5
318,Cole Aldrich,9.6
185,Xavier Henry,0.8
481,Ed Davis,30.5
477,Patrick Patterson,25
238,Larry Sanders,10.3
331,Luke Babbitt,6.3
418,Eric Bledsoe,23.3
413,Avery Bradley,14.4
247,James Anderson,3.3
17,Craig Brackins,-0.2
109,Elliot Williams,0.7
464,Trevor Booker,23.3
39,Damion James,0
15,Dontae' Jones,-0.3
279,Quincy Pondexter,9.1
2,Joe Crawford,0
401,Greivis Vasquez,12.6
51,Daniel Orton,1
72,Lazar Hayward,0.2
50,Dexter Pittman,0.5
217,Hassan Whiteside,25.2
47,Armon Johnson,-0.1
0,Terrico White,0
5,Darington Hobson,-0.2
5,Andy Rautins,-0.2
255,Landry Fields,10.5
358,Lance Stephenson,13.8
37,Jarvis Varnado,0.7
0,Da'Sean Butler,0
63,Devin Ebanks,0.5
65,Jerome Jordan,1.7
1,Gani Lawal,0
0,Tiny Gallon,0
26,Solomon Alabi,0
0,Magnum Rolle,0
70,Luke Harangody,0.9
19,Willie Warren,0.2
249,Jeremy Evans,8.2
33,Hamady N'Diaye,0
5,Ryan Reid,0.1
41,Derrick Caracter,0.3
0,Stanley Robinson,0
0,Dwayne Collins,0
381,Kyrie Irving,40.4
426,Derrick Williams,14.1
466,Tristan Thompson,34.9
729,Brevin Knight,32.6
448,Kenny Walker,17.9
235,Jimmer Fredette,2.4
464,Klay Thompson,36.6
301,Alec Burks,9.6
62,Max Morris,4.1
62,Max Morris,4.1
398,Kawhi Leonard,55.4
399,Nikola Vucevic,28.1
370,Iman Shumpert,11.6
148,Chris Singleton,2.3
14,Tony Harris,0
84,Nolan Smith,-0.8
409,Kenneth Faried,34.6
403,Reggie Jackson,21.3
164,MarShon Brooks,2.5
344,Joe Hamilton,12.4
36,JaJuan Johnson,0.2
360,Norris Cole,3
364,Cory Joseph,15.2
399,Jimmy Butler,49.3
22,Justin Harper,-0.3
344,Kyle Singler,10.1
330,Shelvin Mack,7.5
24,Tyler Honeycutt,-0.1
43,Jordan Williams,1.3
466,Tristan Thompson,34.9
374,Chandler Parsons,28
328,Jon Leuer,12.2
132,Darius Morris,-0.3
36,Malcolm Lee,0.4
110,Charles Jenkins,0.5
75,Josh Harrellson,2.1
49,Andrew Goudelock,0
10,Travis Leslie,0.1
680,Kent Benson,33.6
38,Josh Selby,-0.7
388,Lavoy Allen,13.8
0,Jon Diebler,0
23,Vernon Macklin,0.5
119,DeAndre Liggins,1.1
380,E'Twaun Moore,7.5
0,Ater Majok,0
441,Isaiah Thomas,45.4
